listing_id;description;room_type;price;neighborhood_full;host_name;last_review
19319;Private room Great Deal at Lower East Side;Private room;94 dollars;Manhattan, Lower East Side;Ana;21/04/2008
20299;Oh glorious spring!;Private room;60 dollars;Manhattan, East Village;Edward;21/06/1930
20611;Cozy Bedroom in Williamsburg 3 BR;Private room;85 dollars;Brooklyn, Williamsburg;Lulú;21/06/2022
20724;Sunny room+Pvte office in huge loft;Private room;65 dollars;Brooklyn, Bushwick;Augustin;21/05/2026
20734;Spacious Prospect Heights Apartment;Entire home/apt;131 dollars;Brooklyn, Prospect Heights;Sean & Lynette;21/06/2027
20755;Large Parlor Room, Landmark Home 1 block to PRATT;private room;98 dollars;Brooklyn, Clinton Hill;Erica;21/05/1931
20853;2-bed brownstone duplex + garden;Entire home/apt;250 dollars;Brooklyn, Prospect Heights;Tracy;21/05/2021
21293;Sunny Apartment in Artist Home;ENTIRE HOME/APT;105 dollars;Brooklyn, Bushwick;Tyrome;21/06/2018
21456;Light-filled classic Central Park;ENTIRE HOME/APT;140 dollars;Manhattan, Upper West Side;Dana;21/07/2007
21794;COZY QUIET room 4 DOOGLERS!;private room;98 dollars;Manhattan, Chelsea;Olan;21/05/2001
22918;loft bed - near transportation-15min to times sq;Private room;60 dollars;Manhattan, Harlem;Ssameer Or Trip;21/01/2003
23135;House On Henry (3rd FLR Suite);Entire home/apt;175 dollars;Brooklyn, Carroll Gardens;Annette;21/06/2024
23686;2000 SF 3br 2bath West Village private  townhouse;Entire home/apt;500 dollars;Manhattan, West Village;Ann;21/05/2018
24143;Williamsburg‚ÄîSteps To Subway, Private Bath&Balcony;private room;101 dollars;Brooklyn, Williamsburg;Seth;21/05/2029
25235;Large 2 Bedroom Great for Groups!;Entire home/apt;125 dollars;Brooklyn, Bedford-Stuyvesant;Shelly;21/06/2028
25696;1,800 sq foot in luxury building;Private room;100 dollars;Manhattan, Harlem;Dena;21/06/2023
26362;Times Square, Safe, Clean and Cozy!;Private room;59 dollars;Manhattan, Hell's Kitchen;Luiz;21/06/2016
26520;Cozy Room #3, Landmark Home 1 Block to PRATT;Private room;125 dollars;Brooklyn, Clinton Hill;Erica;21/06/2002
26969;2 story family home in Williamsburg;Entire home/apt;325 dollars;Brooklyn, Williamsburg;Alexandra;21/06/2023
27006;Comfortable UWS 2-BD Family-Friendly Brownstone;Entire home/apt;235 dollars;Manhattan, Upper West Side;Stacy;21/04/2027
27385;Great Large 1 BR apt  in East Village!;Entire home/apt;225 dollars;Manhattan, East Village;Bruce;21/06/2007
27531;Eveland Private Bed & Living Room w/ Own Entrance;private room;99 dollars;Brooklyn, South Slope;Evelyn;21/05/2020
27644;Sugar Hill Rest Stop;Entire home/apt;170 dollars;Manhattan, Harlem;Emma;21/07/2001
27759;apartment next to Central park;entire home/apt;170 dollars;Manhattan, Upper West Side;Sylvie;21/06/2026
29013;B & B Room 1;Private room;70 dollars;Brooklyn, Bedford-Stuyvesant;Angela;21/05/2014
29455;ACCOMMODATIONS GALORE #1;entire home/apt;120 dollars;Manhattan, Harlem;Laurine;21/06/2020
29628;Sunny Room in New Condo;Private room;89 dollars;Brooklyn, Clinton Hill;Chris;21/07/2003
29683;Stylish & Sleek Apartment Near SoHo!;entire home/apt;185 dollars;Manhattan, East Village;Uli;21/06/2025
30031;NYC artists‚Äô loft with roof deck;private room;50 dollars;Brooklyn, Greenpoint;Sol;21/05/2020
30927;Unique & Charming small 1br Apt. LES;Entire home/apt;105 dollars;Manhattan, Lower East Side;Cs;21/06/2014
31130;Most Central Location!;Private room;130 dollars;Manhattan, Hell's Kitchen;Lara;21/05/2026
31555;Luminous Beautiful West Village Studio;Entire home/apt;115 dollars;Manhattan, West Village;Tom;21/07/2001
31902;Sanctuary in East Flatbush;Private room;77 dollars;Brooklyn, Flatlands;Sunder;21/01/2001
31994;Room with En Suite Bathroom & Deck;Private room;76 dollars;Brooklyn, Clinton Hill;Waldemar;21/06/2024
32023;FLAT MACDONOUGH;Entire home/apt;125 dollars;Brooklyn, Bedford-Stuyvesant;Khem;21/06/2023
32037;Huge Private  Floor at The Waverly;Private room;135 dollars;Brooklyn, Clinton Hill;Sahr;21/07/2001
32965;FLAT MACDONOUGH GARDEN;ENTIRE HOME/APT;115 dollars;Brooklyn, Bedford-Stuyvesant;Khem;21/06/2020
32969;Light filled Williamsburg Apartment;Entire home/apt;160 dollars;Brooklyn, Williamsburg;Katherine;21/07/2002
33009;Retreat in Williamsburg;Entire home/apt;195 dollars;Brooklyn, Williamsburg;Ming;21/06/2017
33014;NYC Zen;Entire home/apt;195 dollars;Manhattan, East Village;Paula;21/06/2017
33223;Cozy BR in Wiliamsburg 3 Bedroom;private room;80 dollars;Brooklyn, Williamsburg;Lulú;21/06/2022
34760;Sunny Room in Old Historical Brooklyn Townhouse;Private room;44 dollars;Brooklyn, Fort Greene;Obed;21/06/2029
35526;Sun Filled Classic West Village Apt;Private room;156 dollars;Manhattan, West Village;Karen;21/06/2022
36133;Classic Artist Loft Williamsburg;Private room;125 dollars;Brooklyn, Williamsburg;White;21/06/2013
36703;Sunny, clean 1 bdrm in W. Village;ENTIRE HOME/APT;225 dollars;Manhattan, West Village;Karene;21/03/1931
38638;Light and Airy Upper East Side 1 BDR apartment;entire home/apt;219 dollars;Manhattan, Upper East Side;Sara;21/06/2026
39267;CENTRAL PARK LOFT all for YOU;ENTIRE HOME/APT;99 dollars;Manhattan, Upper East Side;Marie;21/06/2008
39282;Indie-Chic Share In Williamsburg;PRIVATE ROOM;69 dollars;Brooklyn, Williamsburg;Gus;21/05/2028
39593;A room w/ a Manhattan view, longer stay;PRIVATE ROOM;79 dollars;Queens, Sunnyside;Myung;21/04/2012
39704;Private, Large & Sunny 1BR w/W&D;entire home/apt;135 dollars;Brooklyn, Bedford-Stuyvesant;Renée;21/06/2022
41348;* Spacious GARDEN Park Slope Duplex* 6 people max;Entire home/apt;250 dollars;Brooklyn, Gowanus;Syl;21/07/2006
42580;Parlor Room In Victorian Townhouse;Private room;70 dollars;Brooklyn, Clinton Hill;Waldemar;21/06/2024
42729;House On Henry (2nd FLR Suite);ENTIRE HOME/APT;165 dollars;Brooklyn, Carroll Gardens;Annette;21/06/2018
42882;New York room with a view;Private room;70 dollars;Staten Island, St. George;Newyorkroomwithaview;21/06/2013
43957;Sunny cozy room in Brklyn townhouse;private room;50 dollars;Brooklyn, Bushwick;Tessa;21/06/2019
44096;Room with a View;PRIVATE ROOM;40 dollars;Bronx, Highbridge;Waundell;21/07/2004
44212;West Inn 2 - East Village;Private room;125 dollars;Manhattan, East Village;Bruce;21/06/2023
44221;Financial District Luxury Loft;Entire home/apt;196 dollars;Manhattan, Financial District;Coral;21/06/2020
44229;BROOKLYN VICTORIAN STYLE SUITE.....;Private room;110 dollars;Brooklyn, Fort Greene;Carol;21/06/2024
44288;Your own Lovely West Village Studio;entire home/apt;170 dollars;Manhattan, West Village;Sara;21/06/2001
44506;ACCOMMODATIONS GALORE#3. 1-5 GUESTS;Entire home/apt;165 dollars;Manhattan, Harlem;Laurine;21/05/2026
45556;Fort Greene, Brooklyn: Center Bedroom;Private room;65 dollars;Brooklyn, Fort Greene;Doug;21/06/1930
45910;Beautiful Queens Brownstone! - 5BR;entire home/apt;350 dollars;Queens, Ridgewood;Mark;21/05/2012
45936;Couldn't Be Closer To Columbia Uni;Private room;99 dollars;Manhattan, Morningside Heights;Rahul;21/05/2014
45940;Bright Spacious Luxury Condo;Entire home/apt;200 dollars;Brooklyn, Williamsburg;Miyoung;21/04/2008
46544;Park Slope haven 15 mins from Soho;Entire home/apt;150 dollars;Brooklyn, Park Slope;Monica;21/06/2005
46723;SAFE  AND BEAUTIFUL ACCOMODATION;PRIVATE ROOM;90 dollars;Brooklyn, Bedford-Stuyvesant;Marylyn;21/05/2019
46911;Large Room in private Brownstone in Park Slope;Private room;120 dollars;Brooklyn, Prospect Heights;Kathleen R.;21/06/2024
47199;NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO);Private room;75 dollars;Manhattan, Upper East Side;Teresa;21/06/2024
47926;LUX APT IN TIMES SQUARE NEW BUILDING;Entire home/apt;275 dollars;Manhattan, Hell's Kitchen;Claudia;21/06/2026
48719;Designer 1 BR Duplex w/ Terrace- Spectacular Views;Entire home/apt;299 dollars;Manhattan, Lower East Side;Shane;21/06/2015
50447;"Lovely Apt & Garden;  Legal;  Best Area; Amenities";Entire home/apt;135 dollars;Brooklyn, South Slope;Laurie;21/06/2022
51485;Lower East Side $57~/night;Private room;83 dollars;Manhattan, Lower East Side;Erina;21/06/2022
51572;Prime Location in Manhattan;Private room;123 dollars;Manhattan, Chelsea;Lee;21/06/2018
51850;( F) Excellent/Pvt Rm;Private room;55 dollars;Queens, Jamaica;Jullett;21/05/2020
53137;Quiet, sunny Midtown Manhattan apt.;entire home/apt;195 dollars;Manhattan, Hell's Kitchen;Marlaine;21/07/2001
53477;3 floors of luxury!;ENTIRE HOME/APT;265 dollars;Queens, Middle Village;Mark;21/04/2027
54158;The Institute‚ÄîHeart of Williamsburg;Entire home/apt;249 dollars;Brooklyn, Williamsburg;Bob;21/06/2020
54508;Sml Rm in pr Brst  Park Sl great for Med/students;PRIVATE ROOM;100 dollars;Brooklyn, Prospect Heights;Kathleen R.;21/06/2006
54544;City Room - Private Penthouse Apt.;Entire home/apt;121 dollars;Manhattan, Harlem;Wayne;21/06/2022
54626;Cozy bedroom by Yankee Stadium;Private room;45 dollars;Bronx, Highbridge;Waundell;21/06/1930
54860;Great apartment with private bathroom and entrance;Private room;100 dollars;Manhattan, East Harlem;Jenny;21/06/2023
55467;Private Garden Apt ‚Ä¢ New Renovation;Entire home/apt;140 dollars;Brooklyn, Williamsburg;Paul;21/07/2002
55498;Modern comfort in art infused landmark Brownstone;Private room;71 dollars;Brooklyn, Bedford-Stuyvesant;Tami;21/07/2001
55737;Sleek & Comfortable Soho Apt;Entire home/apt;199 dollars;Manhattan, West Village;Pete;21/05/2019
55959;Spacious Williamsburg Share w/ LOFT BED;Private room;69 dollars;Brooklyn, Williamsburg;Gus;21/06/2010
56467;Cozy East Village Railroad 1 Bed!;Entire home/apt;130 dollars;Manhattan, East Village;Leonardo;21/07/2001
56525;1 Bedroom Loft w/ Private Roof Deck;Entire home/apt;195 dollars;Brooklyn, Greenpoint;Alex;21/06/2013
56859;City Room - Private & Comfy Bedroom;private room;64 dollars;Manhattan, Harlem;Wayne;21/06/2003
57166;Elegant NYC Pad;Entire home/apt;140 dollars;Queens, Ditmars Steinway;Vasili;21/06/2017
57297;Clean & bright 1BR in Cobble Hill, GREAT location!;Entire home/apt;159 dollars;Brooklyn, Cobble Hill;S.M.;21/06/2024
57468;Modern, Large East Village Loft;Entire home/apt;189 dollars;Manhattan, East Village;Ori;21/06/2023
57618;Great new apt, close to everything;Entire home/apt;250 dollars;Manhattan, Hell's Kitchen;Ana;21/06/2009
57740;Quiet & Clean Retreat in the City;Entire home/apt;239 dollars;Manhattan, East Village;I;21/05/2024
57754;Stylish Large Gramercy Loft!;ENTIRE HOME/APT;305 dollars;Manhattan, Flatiron District;R;21/06/1930
57874;The Brownstone-Luxury 1 Bd Apt/NYC;ENTIRE HOME/APT;155 dollars;Manhattan, Harlem;Simon;21/06/2026
58059;PRIVATE Room on Historic Sugar Hill;private room;60 dollars;Manhattan, Harlem;Agnes;21/07/2003
58062;South Slope Green;Private room;135 dollars;Brooklyn, Windsor Terrace;Linda;21/05/2017
58467;17 Flr. Manhattan Views, Nr. Subway;Private room;120 dollars;Manhattan, Roosevelt Island;Dave;21/05/2008
59014;Spacious 1BR, Adorable Clean Quiet;Entire home/apt;150 dollars;Manhattan, Lower East Side;Drica;21/01/2002
59642;Franklin St Flat in Trendy Greenpoint Brooklyn;Entire home/apt;135 dollars;Brooklyn, Greenpoint;Betty;21/05/2019
59709;Artistic, Cozy, and Spacious w/ Patio! Sleeps 5;entire home/apt;250 dollars;Manhattan, Chinatown;Ricardo & Ashlie;21/07/2001
60164;Beautiful, elegant 3 bed SOHO loft;Entire home/apt;500 dollars;Manhattan, SoHo;Harrison;21/06/2023
60457;Spacious Greenwich Village Apt;entire home/apt;225 dollars;Manhattan, Greenwich Village;Jessica;21/05/2011
60666;City Room - Private Luxury Suite;Private room;92 dollars;Manhattan, Harlem;Wayne;21/06/2011
60680;The gem of the East Village;Entire home/apt;99 dollars;Manhattan, East Village;Mich;21/06/2020
60948;ACCOMMODATIONS GALORE #2;Entire home/apt;140 dollars;Manhattan, East Harlem;Laurine;21/06/2020
61406;Great room in great location;private room;80 dollars;Manhattan, Harlem;Bethania;21/06/2001
61492;Exclusive Room with Private Bath in  LES;Private room;120 dollars;Manhattan, Chinatown;Tunji;21/06/2023
61509;Quiet, clean midtown apt w. elevato;Entire home/apt;110 dollars;Manhattan, Midtown;Anna/Fonzy;21/04/1930
62095;BK Sweet Suite w/Kitchen&FullBath;Entire home/apt;65 dollars;Brooklyn, East Flatbush;Colette&Sean;21/06/2014
62427;Great East Village Apartment Rental;Entire home/apt;130 dollars;Manhattan, East Village;Brie;21/05/2026
62430;BROWNSTONE SUNDRENCHED BEAUTY;entire home/apt;99 dollars;Brooklyn, Bushwick;Sheila;21/06/2022
62452;A SpeciaL!! Private Room in NY;Private room;36 dollars;Staten Island, Tompkinsville;Lissette;21/06/2025
62461;B NYC Staten Alternative...;Private room;37 dollars;Staten Island, Tompkinsville;Lissette;21/06/2010
62787;C Private Room By The Ferry;private room;37 dollars;Staten Island, Tompkinsville;Lissette;21/07/2002
62891;Smallest House In The Village;Entire home/apt;175 dollars;Manhattan, East Village;Olivia;21/05/2024
62903;Beautiful modern studio apartment in heart of NYC;ENTIRE HOME/APT;205 dollars;Manhattan, Chelsea;Daniel;21/06/2021
62925;Beautiful Landmarked Duplex;Entire home/apt;285 dollars;Brooklyn, Greenpoint;Maya;21/06/2016
63299;BROOKLYN > Guest Room w/ Queen Bed in Williamsburg;private room;59 dollars;Brooklyn, Williamsburg;Scott;21/06/2023
63320;D Private Che@p Room 2 Explore NYC;Private room;36 dollars;Staten Island, Tompkinsville;Lissette;21/07/2002
63360;Safe cute near subway& Manhattan NY NY retro style;Entire home/apt;99 dollars;Queens, Astoria;Dennis & Naoko;21/06/2024
63546;Large and Cozy Private Bedroom;Private room;39 dollars;Brooklyn, Kensington;Antonín;21/05/2016
63610;DOMINIQUE'S NY mini efficiency* wifi*metro*quiet;Entire home/apt;105 dollars;Bronx, Eastchester;Vie;21/06/2027
63657;Private, Large & Sunny Top Floor Apt  w/W&D;entire home/apt;135 dollars;Brooklyn, Bedford-Stuyvesant;Renée;21/06/2025
63693;Cottage in the Village;ENTIRE HOME/APT;390 dollars;Manhattan, East Village;Olivia;21/06/2019
64000;Williamsburg near soho. / loftbed;Private room;60 dollars;Brooklyn, Williamsburg;Kristian & Di;21/01/2007
64107;BROOKLYN  STUDIO APARTMENT;Private room;100 dollars;Brooklyn, Crown Heights;Niya;21/06/2024
64277;BEDROOM2 FOR RENT  10min from Manh;PRIVATE ROOM;70 dollars;Brooklyn, Bedford-Stuyvesant;Helene;21/01/2002
64314;cozy bedroom in lovely garden apt;private room;110 dollars;Brooklyn, Crown Heights;Debbie;21/05/2026
64365;Crown Heights Garden Apt.;private room;60 dollars;Brooklyn, Crown Heights;Anthony;21/06/2027
64707;Amazing  Sunny & Breezy Home In the Heart of  NYC;Entire home/apt;90 dollars;Manhattan, Little Italy;Tilly;21/01/2002
64837;ENJOY Downtown NYC!!;private room;68 dollars;Manhattan, East Village;Edward;21/06/2023
65019;Charming UWS Treehouse Apt;Entire home/apt;115 dollars;Manhattan, Upper West Side;Claire;21/07/2006
65268;Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn;Private room;75 dollars;Brooklyn, Bedford-Stuyvesant;Juhli;21/01/2005
65562;CHARMING EAST VILLAGE 2 (or 1) BR;Entire home/apt;129 dollars;Manhattan, East Village;Mary D;21/01/2003
65615;Farmhouse Apartment in Williamsburg;Entire home/apt;130 dollars;Brooklyn, Williamsburg;Valerie;21/06/2029
65660;Bright+Spacious Williamsburg Abode!;Entire home/apt;95 dollars;Brooklyn, Williamsburg;Larissa;21/07/2007
65813;Suite Sugar Hill, Harlem, Private Rm in Hosted Apt;PRIVATE ROOM;75 dollars;Manhattan, Harlem;Eric;21/01/2002
66008;CHARMING CARROLL GARDENS APT.;Entire home/apt;190 dollars;Brooklyn, Carroll Gardens;Melissa;21/07/2001
66026;Private Bedroom Brownstone Brooklyn;Private room;49 dollars;Brooklyn, Crown Heights;Alex;21/06/1930
66251;East Village Loft with Piano & Patio;Entire home/apt;212 dollars;Manhattan, East Village;Samir;21/06/2025
66275;Lower East Side Magic Room;Private room;95 dollars;Manhattan, Lower East Side;Tony;21/06/2023
66451;**Fantastic Williamsburg Apt**;entire home/apt;140 dollars;Brooklyn, Williamsburg;Luis Fernando;21/02/2016
66718;West Harlem Home Base - Eco-Apt.;entire home/apt;135 dollars;Manhattan, Harlem;Henning;21/06/2023
66741;Charming Garden Apt in Park Slope;Entire home/apt;150 dollars;Brooklyn, Park Slope;Stefano;21/06/2023
66974;Lovely, Modern, Garden Apartment;Entire home/apt;190 dollars;Brooklyn, Gowanus;Jana;21/07/2001
67288;Central Park 1BR sunny condo;Entire home/apt;124 dollars;Manhattan, East Harlem;Per;21/06/2015
67299;Cozy Garden Apartment  in Williamsburg;Entire home/apt;135 dollars;Brooklyn, Williamsburg;Adrienne;21/05/2006
67397;SoHa comfort-by NW Central Park!;Private room;122 dollars;Manhattan, Morningside Heights;Elise;21/06/2022
68099;Cozy room in Upper West Side;Private room;109 dollars;Manhattan, Upper West Side;Deda;21/06/2025
68403;The Cozy Brownstone Inn (discount)!;entire home/apt;145 dollars;Brooklyn, Bedford-Stuyvesant;Naimah;21/06/2024
68735;Prewar Penthouse w Private Terrace;ENTIRE HOME/APT;195 dollars;Manhattan, Upper West Side;Violetta;21/06/2013
68765;Designer 2.5 BR Loft in Carroll Gardens by Subway;Entire home/apt;250 dollars;Brooklyn, Carroll Gardens;Jenna;21/06/2027
68974;Unique spacious loft on the Bowery;ENTIRE HOME/APT;575 dollars;Manhattan, Little Italy;Alicia;21/06/2020
69894;Nice renovated apt, prime location!;Entire home/apt;150 dollars;Manhattan, Upper West Side;Silvia;21/06/2011
69921;Brooklyn Writer's Nook;Private room;70 dollars;Brooklyn, Bushwick;Joab;21/06/2029
70095;Private Bedroom in Large NYC Apartment;Private room;90 dollars;Manhattan, Inwood;Mary And Geoff;21/06/1930
70128;Large, Sunny Room East Village NYC;private room;65 dollars;Manhattan, East Village;Eyal;21/01/2010
70609;Great Large 3 BR/2 Bath Duplex with Private Patio!;ENTIRE HOME/APT;500 dollars;Manhattan, East Village;Bruce;21/06/2016
71010;All That Jazz. Uptown style on Sugar Hill.;entire home/apt;250 dollars;Manhattan, Washington Heights;Kurt;21/05/2024
71248;Bright and lovely 1 bdrm apt in LES;Entire home/apt;125 dollars;Manhattan, Chinatown;Jennifer;21/06/2017
71366;Beautiful One Bed West Village - 4 Month Special;Entire home/apt;200 dollars;Manhattan, West Village;Ruperto;21/06/2025
71812;Condo Apartment with laundry in unit;entire home/apt;90 dollars;Bronx, Kingsbridge;Thai;21/01/2002
72190;1BR: See Central Park from Terrace!;entire home/apt;110 dollars;Manhattan, Upper West Side;Hudson;21/02/2015
72265;Private room in cozy Greenpoint;Private room;59 dollars;Brooklyn, Greenpoint;Vanessa;21/06/2016
74073;Food & Music Dream Apartment in Williamsburg;Entire home/apt;195 dollars;Brooklyn, Williamsburg;Daniel;21/06/2023
74240;French Garden cottage off Bedford;ENTIRE HOME/APT;169 dollars;Brooklyn, Williamsburg;Patty;21/06/2007
74680;One Bedroom Mini studio - Free WIFI;Entire home/apt;115 dollars;Queens, Astoria;Nazleen;21/05/1931
75193;BROOKLYN > Guest Room w/ King Bed in Williamsburg;Private room;69 dollars;Brooklyn, Williamsburg;Scott;21/06/2022
